00000000004_0025819_0026242	and then the prophets recorded their history and their prophecies.
00000003083_0226000_0226887	one may hear the cry. the enemy are coming, and they have got cannon, got cannon, says the hesitating general. yes.
00000003083_0226887_0228209	then halt every man. he wants time to reflect. his hesitation is his ruin. the enemy passes unmolested or overwhelms him. while on the other hand, the general of pluck.
00000003083_0233633_0234702	whatever is worth doing at all is worth doing well. many a man acquires a fortune by doing his business thoroughly, while his neighbor remains poor for life.
00000003083_0236481_0238287	it won't do to spend your time like mr micawber in waiting for something to turn up to such men. one of two things usually turns up, the poorhouse or the jail for idleness breeds bad habits.
00000003083_0242319_0243693	because he could not pay his bill. but he had a roll of papers sticking out of his coat pocket, which upon examination proved to be his plan for paying off the national debt of england without the aid of a penny.
00000003083_0245369_0247132	i will loose my camel and trust it to god. no, no, not so said the prophet. tie thy camel and trust it to god. do all you can for yourselves, and then trust to providence or luck or whatever you please to call it for the rest.
00000003083_0259566_0260608	suddenly the animal said, i am the devil, and i am going to eat you. it was but natural that cuvier should desire to classify this creature.
00000003083_0264532_0264913	this seems to be a contradiction in terms, but it is not.
00000003083_0267562_0268420	a man may go on change and make fifty or one hundred thousand dollars in speculating in stocks at a single operation.
00000003083_0280155_0281431	by the experience he acquires. he is worth more to you this year than last. and he is the last man to part with provided his habits are good. and he continues.
00000003083_0282736_0283651	have such an employee. i always discharge him first to convince him that his place may be supplied. and second, because he is good for nothing if.
00000003083_0287055_0287714	that is very good, says the employer. another man comes along and says.
00000003083_0287714_0287981	he has two fingers that think.
00000003083_0287984_0289281	ah, that is better. but a third calls in and says that all his fingers and thumbs think that is better. still, finally another steps in and says, i have a brain.
00000003083_0289281_0291206	thinks i think all over. i am a thinking as well as a working man. you are the man i want, says the delighted employer. those men who have brains and experience are therefore the most valuable and not to be readily parted with. it is better for.
00000003083_0291984_0292338	end of chapter six.
00000003083_0296552_0298455	i will tell you confidentially. i have a wealthy old aunt, and she will die pretty soon. but if she does not, i expect to find some rich old man who will lend me a few thousands to give me a start. if i only get the money to start with, i will do well.
00000003083_0299544_0300468	it was more difficult for him to accumulate his first thousand dollars than all the succeeding millions that made up his colossal fortune.
00000003083_0301122_0302674	thousand dollars and put him in business. and the chances are that he will lose every dollar of it before he is a year older, like buying a ticket in the lottery and drawing a prize. it is easy come, easy, go.
00000003083_0311384_0313152	i may say it is equally true. there is no royal road to wealth. but i think there is a royal road to both. the road to learning is a royal one, the road that enables the student to expand his intellect and add every day to his stock of knowledge.
